,Mahalanobis_Distance
0,9.03926895922213
1,10.764545556898936
2,7.65939061826807
3,7.481458223754454
4,8.5485908683786
5,8.110161113394282
6,9.126375706393715
7,9.290767560863577
8,9.184437425245854
9,6.926755247995207
10,6.4076045324029645
11,6.152452064627119
12,6.335671409881198
13,6.010226927624081
14,8.019227793644626
15,6.443273925724024
16,6.270108056303573
17,6.074491611753543
18,7.61962555560583
19,7.178606811440072
20,6.413845688698428
21,8.539154235897838
22,5.990932793639155
23,5.654663514491558
24,5.228026859946595
25,5.056297030828736
26,6.276388464672726
27,5.678926851797989
28,5.270406884530408
29,7.730428685683115
30,6.635269047764062
31,6.396877755873915
32,9.069818187343726
33,6.424703559519264
34,6.162701673395989
35,6.136183747449195
36,4.944572750864486
37,6.881893811768315
38,7.224130824832028
39,5.925622095209896
40,6.555617040394885
41,5.004231973140687
42,4.667782100517919
43,5.232838827186066
44,4.896142309594196
45,5.695372836400739
46,5.621283405751989
47,6.888756739683597
48,6.4917297778361664
49,5.850226704969555
50,5.974938612551303
51,5.764399613652581
52,5.111405596770172
53,8.314859358571931
54,5.710620126824814
55,5.502510901121747
56,6.060388614463976
57,5.498017627362127
58,7.199854751429641
59,6.384069893459193
60,5.934240083999351
61,6.658096252278544
62,7.406047475870189
63,6.74889608712003
64,6.740391025636749
65,6.914327315236086
66,7.287844228101972
67,6.327298165945345
68,6.894696646863514
69,6.7981068198163594
70,6.700190895632242
71,6.728671978164801
72,5.133525477519592
73,5.154630430882256
74,5.122886420723137
75,5.545241058475696
76,5.5260241664688525
77,6.252955735202248
78,4.657618114611447
79,4.961117799203311
80,4.434130724272279
81,4.9252478360063945
82,4.72780432258859
83,6.651969473715604
84,5.056330798214866
85,5.515995316355401
86,5.389017801006678
87,6.102749379495591
88,5.73879483442383
89,5.328150157449051
90,5.753980530401837
91,6.150756935604128
92,6.580065831158264
93,8.04909722078284
94,6.76220936505582
95,6.97851555508719
96,7.436069648161526
97,7.006641903339615
98,6.954663093077832
99,7.792344501497147
100,9.249691246600191
101,9.660111187887573
102,8.524372515481145
103,8.083340006947168
104,6.85346430550757
105,6.74482221762063
106,8.216403339473619
107,6.711207753949054
108,6.831426635586235
109,6.144075513169383
110,6.606485461502576
111,6.2266018538083845
112,6.463903991404496
113,5.895559483337414
114,5.93658692351676
115,6.809837078175908
116,6.5941133338818405
117,6.517059554364101
118,7.0875036791837625
119,6.528089120661937
120,5.536327356891982
121,5.5382560698780035
122,5.527970529528089
123,6.687043172169095
124,5.544637864408841
125,4.900302500705301
126,5.7213396745336125
127,5.826129507063054
128,5.566169068303228
129,6.098617554087772
130,5.604135450432193
131,5.379201229689015
132,6.457617516525807
133,7.2053830539495936
134,4.939373309576141
135,5.402121680135816
136,5.229851303718778
137,5.771303459126181
138,5.35345597588874
139,6.273449735974
140,6.994443323746102
141,5.971035986017357
142,5.980322525306453
143,5.1884149645845925
144,5.204544927929411
145,6.172834475020729
146,5.656297010076472
147,6.090454016093011
148,6.935121554131762
149,6.252118605873675
150,4.987696874476857
151,6.0399202895982365
152,5.5069545093311785
153,5.711616377088891
154,4.326062832760619
155,7.875536781135649
156,6.507266044124688
157,4.818979091538134
158,7.180890713571146
159,5.581623034710911
160,5.3678529736056655
161,5.358951214934586
162,5.236767454806355
163,5.043742474818931
164,6.213470827227944
165,5.094243491970598
166,6.523415269042496
167,7.949031194534401
168,5.717288285264207
169,5.29744979614939
170,6.3087512597072335
171,6.368702289759276
172,5.9397499374397835
173,6.40842158538795
174,5.077162748860695
175,5.627711987233474
176,5.031435104446966
177,4.234153051814061
178,4.841242899838131
179,5.8209632369387085
180,5.021581509201999
181,5.718018103156366
182,5.057245206503631
183,6.092351247936282
184,5.258449792735368
185,4.775867553339861
186,6.702851765572466
187,6.5008118870717775
188,6.012693272780341
189,5.152043394389092
190,5.817735019229681
191,5.956283303730201
192,4.745105456193435
193,6.0256525880080245
194,6.018920219533563
195,5.3806831801968364
196,7.499784716721082
197,5.325447971845233
198,5.72677985071207
199,6.016065037194127
200,5.459621129000378
201,6.553939240353315
202,7.151130149932518
203,5.98879139575391
204,5.477632816206194
205,7.181920301404
206,5.397240315565137
207,6.619835317398419
208,8.38771536420072
209,5.148117192843552
210,12.314896856502893
211,9.031656750195845
212,8.979312533086519
213,9.773072714734159
0,5.359648812695391
1,5.080095174216853
2,5.598748001132578
3,5.485550426170989
4,5.383073598227192
5,5.786749248705749
6,5.7713821237241785
7,5.774779743542161
8,7.819316068399211
9,6.844068131724499
10,6.771852356658101
11,5.339859259069494
12,5.9412283781359
13,6.406860672208311
14,7.79650290369025
15,6.791909042338799
16,6.993656999439508
17,7.78360031900043
18,9.632157417588852
19,8.248090013666632
20,7.199473917475234
21,8.157577573634724
22,7.7943666111629915
23,7.719881020629806
24,7.47826246951364
25,9.291791240552666
26,9.322870732546965
27,7.519402291875871
28,8.494369266011285
29,7.0489849111360545
30,9.964662310550892
31,8.678660722668727
32,9.014880216290594
33,8.98234713853904
34,9.407748280515008
35,9.342135983954968
36,8.826356274278115
37,9.268874445551344
38,7.527813809316147
39,10.715887781648204
40,9.196682142122114
41,8.080084574077091
42,10.116420048243262
43,9.311063637164803
44,10.722418774860351
