,Mahalanobis_Distance
0,7.101443094140541
1,6.813851545475282
2,6.968458929360213
3,6.525448154276187
4,7.004772171720812
5,6.7203832710296485
6,7.0597319961547145
7,7.318268704119118
8,6.911668861422908
9,6.851386623998902
10,7.266724326916258
11,8.355028771080352
12,7.516879470902915
13,7.936408413505829
14,8.277375780318089
15,7.8582504495876675
16,9.000545785162275
17,8.27844191544847
18,7.172986244191486
19,7.073825689906808
20,7.038236634801173
21,7.559185852994574
22,7.4875674476857865
23,7.461219556274835
24,7.802260905639839
25,6.946013426813308
26,7.19092141842173
27,7.974014035535864
28,7.7448159836134485
29,7.56490695511563
30,7.154944726126813
31,6.982163392199247
32,6.756337942427277
33,7.6592327296498155
34,6.571937716312385
35,6.89196658586673
36,7.188314636199633
37,6.627357942859811
38,8.166750884427925
39,7.292576314712064
40,7.706982557734932
41,6.919182033143105
42,8.66906845615715
43,9.112450163629683
44,8.393493922546826
45,9.018703169699519
46,8.123665372086977
47,7.668239443519965
48,7.344413646391641
49,7.053029684140265
50,7.2512485244234846
51,7.458415183798667
52,6.958077521387704
53,6.2576028838055695
54,7.4100362695764845
55,6.989765514193143
56,7.608776137576184
57,6.91585841526703
58,7.800425051037744
59,7.010019898215535
60,7.995209065124955
61,7.661499857784585
62,7.441935715818717
63,8.075489038911973
64,7.535651896555137
65,7.865197692869941
66,7.883963091234812
67,6.621976279214434
68,7.745588716114619
69,7.527866798122087
70,9.675661918256449
71,8.019341994756832
72,6.552926595661696
73,6.676703519531333
74,7.264352256231579
75,7.1866162228073645
76,6.772015748642764
77,6.699366306710387
78,7.370392904147491
79,4.946363057010172
80,6.446789147757421
81,5.875397961844928
82,8.032882084432265
83,6.203394973226581
84,6.219413149579309
85,5.761277799392346
86,5.140866285036408
87,6.516614877702357
88,5.784950022593386
89,6.098581008317674
90,7.819927670110618
91,6.509422411847192
92,6.155504111681067
93,5.186579382234558
94,8.408564668007855
95,6.263797906800078
96,7.292703091086797
97,7.463889169909051
98,5.853561480303784
99,5.183754073630716
100,6.06954237900007
101,6.055147837462328
0,9.723472762243558
1,8.405856522071277
2,5.113274972804714
3,5.258092065571833
4,4.819066395380217
5,5.1631200724519
6,6.17224328197045
7,4.834677584676359
8,4.793955679515867
9,7.427544198112869
10,5.672523957181506
11,7.040867903014845
12,7.463939102993479
13,5.178751085719068
14,6.258558592022206
15,7.040787150486923
16,6.680293124354678
17,7.318036521507962
18,8.328753198907414
19,7.663518275453621
