,Mahalanobis_Distance
0,6.52021096245621
1,6.097034865051459
2,7.787093354848038
3,6.9362111753987765
4,6.940000945756009
5,6.470350828807214
6,6.330952816709448
7,6.119188001526213
8,5.869307403717354
9,5.812785167890483
10,6.615614524389963
11,6.1098334440890145
12,6.313278509504141
13,6.564940134141318
14,5.603606968323394
15,6.121094566082796
16,6.430665699966409
17,6.286812387736523
18,7.4393683076660135
19,5.1043350226496464
20,5.808569618565597
21,6.035526107340623
22,6.027639906027427
23,7.261314213716943
24,6.684544542837084
25,7.088973001533562
26,6.8104891841478175
27,6.57823871256957
28,6.2157621037120325
29,6.013454084450229
30,5.130450207759548
31,7.619646191879694
32,6.571192473770214
33,8.052330918896791
34,6.80619746607132
35,6.7006224730271855
36,6.385283937750055
37,5.876787718716578
38,6.890196651531414
39,7.910097434950224
40,5.805867617447281
41,4.792728152185828
42,5.6018700778093455
43,6.200542004922075
44,5.3522518348099375
45,5.748981244385913
46,6.612502464442334
47,5.4800924714985975
48,5.283932032394464
49,7.168268083527283
50,5.871178942282652
51,5.942464887652654
52,6.644755721619209
53,6.0933770296351435
54,5.760723990952513
55,5.772262813929714
56,6.395698378385964
57,8.052314107755754
58,6.650317923535483
59,7.62233998130946
60,6.165343120959625
61,6.085845517701779
62,6.551109287737563
63,7.1283837114996915
64,7.433686421743709
65,7.477634690585303
0,6.851535454568579
1,7.51474753519081
2,6.228065992454267
3,5.60358422613888
4,5.1901959107343645
5,6.303222282389401
6,5.876790472365728
7,4.405596952327879
8,4.729923231768023
9,4.811039014263202
10,5.906061620688166
11,5.54940371432379
12,7.658364326260584
13,5.758952643448238
14,6.90271451325895
15,5.526522319163018
16,5.823529705138973
