,Mahalanobis_Distance
0,7.8872092292920755
1,5.9859079474171715
2,6.556989967624762
3,5.965805694409516
4,5.218017430966926
5,5.263492890037177
6,5.970826235061169
7,6.955955879805981
8,7.282856189074948
9,4.922878568801539
10,6.704569069630549
11,5.631703334712451
12,5.678590305368221
13,6.2921335629037385
14,6.044837666521082
15,6.844999201607699
16,7.050106949629623
17,6.110196910154747
18,5.6303316152324205
19,4.962067940637103
20,5.284616066516064
21,6.176924458194116
22,4.932587706298947
23,6.071345119874549
24,5.017864957633149
25,6.573828795155539
26,6.100867769028226
27,4.698282717555592
28,4.767712209952419
29,3.912928606533987
30,4.577036041189781
31,5.008550642623224
32,5.821836842995181
33,5.434339689945918
34,5.374435131055544
35,5.047681592635135
36,4.710627841608822
37,4.29776220248628
38,7.13120500905505
39,4.907361363717399
40,5.834573296581315
41,5.641203125336684
42,5.686197467093305
43,4.946920166912369
44,5.155520666406236
45,5.187601529835618
46,5.511789611415606
47,4.864426792844903
48,4.860665975151737
49,4.515028509543939
50,5.637005385908004
51,5.428184969940158
52,5.392031249723378
53,6.19478403821638
54,6.809917453783677
55,4.741130334978856
56,5.540708162543385
57,5.62690750827346
58,5.796425036204231
59,7.4210969710796375
60,7.310564350437179
61,4.75473865746798
62,7.5340501984389245
63,7.471481139582423
64,6.418935064890249
65,5.805545556603938
66,6.551922086223215
67,6.966469800168397
68,9.940485821112983
69,7.724873668684208
70,6.086324832307152
71,6.289283991207507
72,5.508659301426575
73,6.719951378524364
74,7.230997584750345
75,7.972436058227716
76,7.6458918158547515
77,7.269826831804099
78,14.236499325560155
79,6.991685348003047
80,6.418267516727332
81,7.993138247736523
82,7.195869203651147
83,5.834310926636022
84,5.838086794689284
85,6.423078987085434
86,5.956877259084295
87,5.128500714357932
88,9.317825038394965
89,5.701884719723447
90,7.28187244724666
91,6.794521099771685
92,10.506052458330998
93,6.748113344664669
94,6.827515474343439
95,7.013927311994843
96,7.648731012461017
97,8.907239244141596
98,8.365288087045748
99,10.473736339245768
100,6.118911818243293
101,6.778557129264825
102,8.186781358064966
103,7.989564201876377
104,7.632645737968967
105,7.4725342604247595
106,7.650266148383727
107,7.6940110305687535
108,5.29994815587915
109,9.069498871382072
110,7.83006638007143
111,7.174582690634472
112,6.893019439120615
113,5.396429473880339
114,5.947933964392225
115,5.926113179646346
