task1,task2,jaccard
Protein,class,0.5
Crude Fib.,Starch,0.5
Crude Fib.,class,0.5
Crude Fat,Crude Fib.,0.5
Starch,class,0.46938775510204084
Crude Fat,Protein,0.46938775510204084
Ash,Protein,0.46938775510204084
Ash,Crude Fat,0.46938775510204084
DM,Crude Fib.,0.44
Ash,NDF,0.4117647058823529
Protein,Crude Fib.,0.4117647058823529
Ash,Crude Fib.,0.4117647058823529
Crude Fib.,ADF,0.4117647058823529
Ash,Starch,0.4117647058823529
Protein,Starch,0.38461538461538464
NDF,class,0.38461538461538464
Ash,class,0.38461538461538464
DM,ADF,0.3584905660377358
Crude Fat,Starch,0.3584905660377358
Crude Fat,DM,0.3584905660377358
Protein,NDF,0.3584905660377358
NDF,Starch,0.3584905660377358
Crude Fat,class,0.3333333333333333
NDF,Crude Fib.,0.3333333333333333
DM,NDF,0.3333333333333333
Crude Fat,ADF,0.3333333333333333
DM,class,0.3333333333333333
DM,Starch,0.3090909090909091
ADF,class,0.3090909090909091
NDF,ADF,0.3090909090909091
Crude Fat,NDF,0.3090909090909091
Protein,DM,0.3090909090909091
Ash,ADF,0.2857142857142857
Ash,DM,0.2631578947368421
Protein,ADF,0.2631578947368421
Starch,ADF,0.2413793103448276
