SampleNumber	DM	Starch	Protein	ADF	NDF	Ash	CrudeFat	CrudeFib
1	88.71	59.54	0	0	0	0	0	6.42
2	89.25	59.38	0	0	0	0	0	6.26
3	88.97	58.13	0	0	0	0	0	6.5
4	87.97	57.54	0	0	0	0	0	6.75
5	89.09	57.61	0	0	0	0	0	5.89
6	89.55	58.23	0	0	0	0	0	6.77
7	88.73	60.45	0	0	0	0	0	5.75
8	88.47	58.86	0	0	0	0	0	5.08
9	88.51	57.84	0	0	0	0	0	6.3
10	88.02	57.53	0	0	0	0	0	6.79
11	87.88	56.56	0	0	0	0	0	6.7
12	89.27	59.85	0	0	0	0	0	5.96
13	89.29	58.58	0	0	0	0	0	6.58
14	89	59.05	0	0	0	0	0	5.84
15	88.38	60.71	0	0	0	0	0	5.7
16	87.76	56.15	0	0	0	0	0	6.51
17	89.27	58.43	0	0	0	0	0	5.76
18	88.98	61.76	0	0	0	0	0	5.6
19	89.42	59.7	0	0	0	0	0	6.34
20	88.1	57.78	0	0	0	0	0	6.21
21	88.91	60.23	0	0	0	0	0	6.26
22	88.03	58.48	0	0	0	0	0	6.07
23	88.48	60.64	0	0	0	0	0	5.62
24	87.97	54.89	0	0	0	0	0	7.17
25	87.85	58.36	0	0	0	0	0	5.94
26	88.12	58.33	0	0	0	0	0	5.97
27	87.19	59.57	0	0	0	0	0	6.19
28	87.35	58.36	0	0	0	0	0	6.34
29	88.61	57.03	0	0	0	0	0	7.07
30	88.77	59.49	0	0	0	0	0	5.61
31	88.02	56.88	0	0	0	0	0	6.28
32	88.37	61.17	0	0	0	0	0	5.22
33	88.59	61.54	0	0	0	0	0	4.88
34	88.49	58.84	0	0	0	0	0	6.19
35	88.52	61.65	0	0	0	0	0	5.11
36	87.79	59.56	0	0	0	0	0	6.04
37	88.32	60.95	0	0	0	0	0	5.59
38	88.26	61.06	0	0	0	0	0	5.52
39	88.61	58.25	0	0	0	0	0	5.88
40	88.44	59.98	0	0	0	0	0	5.21
41	88.57	57.72	0	0	0	0	0	6.3
42	88.4	55.83	0	0	0	0	0	6.07
43	88.53	58.29	0	0	0	0	0	6.06
44	88.6	58.8	0	0	0	0	0	5.83
45	88.63	55.26	0	0	0	0	0	6.74
46	88.39	58.75	0	0	0	0	0	5.98
47	88.51	58.86	0	0	0	0	0	5.68
48	88.72	59.21	0	0	0	0	0	5.94
49	88.72	58.75	0	0	0	0	0	6.34
50	88.08	55.89	0	0	0	0	0	6.69
51	88.73	59.56	0	0	0	0	0	5.8
52	88.45	59.92	0	0	0	0	0	5.24
53	88.54	60.3	0	0	0	0	0	5.58
54	88.71	0	0	0	0	0	0	0
56	87.93	0	0	0	0	0	0	0
57	88.28	0	0	0	0	0	0	0
58	88.78	0	0	0	0	0	0	0
55	88.32	0	0	0	0	0	0	0
59	87.42	0	0	0	0	0	0	0
60	87.57	0	0	0	0	0	0	0
61	87.45	0	0	0	0	0	0	0
62	87.46	0	0	0	0	0	0	0
63	86.63	0	0	0	0	0	0	0
64	86.43	0	0	0	0	0	0	0
65	88.94	0	0	0	0	0	0	0
66	87.01	0	0	0	0	0	0	0
67	87.13	0	0	0	0	0	0	0
68	86.01	0	0	0	0	0	0	0
69	88.71	0	0	0	0	0	0	0
70	88.46	0	0	0	0	0	0	0
71	88.69	0	0	0	0	0	0	0
72	87.68	0	0	0	0	0	0	0
73	87.06	0	0	0	0	0	0	0
74	86.88	0	0	0	0	0	0	0
75	88.28	0	0	0	0	0	0	0
76	86.52	0	0	0	0	0	0	0
77	88.22	0	0	0	0	0	0	0
78	88.28	0	0	0	0	0	0	0
79	87.1	0	0	0	0	0	0	0
80	88.36	0	0	0	0	0	0	0
81	86.71	0	0	0	0	0	0	0
82	85.41	0	0	0	0	0	0	0
83	86.53	0	0	0	0	0	0	0
84	86.71	0	0	0	0	0	0	0
85	89.48	0	0	0	0	0	0	0
86	86.12	0	0	0	0	0	0	0
87	88.82	0	0	0	0	0	0	0
88	88.25	0	0	0	0	0	0	0
89	88.71	0	0	0	0	0	0	0
90	88.46	0	0	0	0	0	0	0
91	86.44	0	0	0	0	0	0	0
92	88.78	0	0	0	0	0	0	0
