SampleNumber	DM	Starch	Protein	ADF	NDF	Ash	CrudeFat	CrudeFib																																																																								
4207	88.10	62.30	10.70	6.00	19.40	2.20	3.10	5.20																																																																								
4208	88.30	62.00	9.80	6.40	18.90	2.20	3.10	5.20																																																																								
4209	88.80	60.80	10.40	6.50	17.70	2.20	3.10	5.40																																																																								
4210	86.80	61.20	11.10	5.90	18.70	2.20	3.20	5.30																																																																								
4211	88.90	62.30	9.40	6.10	17.60	2.20	3.10	5.20																																																																								
4212	86.90	62.20	9.60	6.30	18.40	2.10	3.00	5.30																																																																								
4213	87.10	62.30	9.70	5.90	17.90	2.10	3.10	5.00																																																																								
4214	87.70	62.30	9.50	6.10	18.40	2.20	3.20	5.30																																																																								
4215	87.00	62.50	9.00	6.20	18.80	2.20	3.10	5.30																																																																								
4216	89.20	61.50	10.00	6.30	18.50	2.20	3.10	5.10																																																																								
4217	88.90	60.60	11.50	6.10	18.40	2.20	3.10	5.00																																																																								
4218	89.30	62.40	9.40	6.50	17.90	2.20	3.10	5.00																																																																								
4219	88.60	61.70	10.10	6.50	18.60	2.20	3.20	5.10																																																																								
4221	87.80	61.60	12.40	5.90	19.00	2.20	3.20	4.80																																																																								
4222	87.00	61.70	9.90	6.60	18.70	2.30	3.10	5.50																																																																								
4223	88.50	62.20	9.90	6.10	18.40	2.20	3.10	5.20																																																																								
4225	88.40	61.70	9.70	6.20	18.70	2.20	3.20	4.90																																																																								
4226	88.10	62.80	9.90	6.10	17.60	2.20	3.10	4.90																																																																								
4606	88.10	60.60	10.80	6.30	19.00	2.20	3.10	5.20																																																																								
4607	89.10	62.20	9.70	6.00	17.90	2.20	3.20	4.80																																																																								
4608	90.30	64.60	8.30	6.10	16.30	2.10	3.00	4.50																																																																								
4609	89.30	61.00	10.90	6.80	18.80	2.30	3.10	5.30																																																																								
4610	90.30	62.50	9.10	6.20	17.80	2.10	3.00	4.70																																																																								
4611	86.30	62.00	11.30	6.00	17.80	2.20	3.00	4.90																																																																								
4612	88.70	58.80	10.90	7.20	18.90	2.30	3.00	5.60																																																																								
4613	90.70	62.60	8.40	7.10	18.20	2.20	3.10	4.90																																																																								
4614	89.30	61.60	10.20	6.50	18.40	2.30	3.10	4.80																																																																								
4615	87.30	57.60	12.90	6.80	18.70	2.30	3.10	5.50																																																																								
4616	88.20	60.30	11.20	6.90	18.20	2.20	3.30	4.90																																																																								
4617	87.00	62.10	9.90	6.00	18.30	2.10	3.20	5.20																																																																								
4618	88.70	60.20	10.30	6.50	18.60	2.30	3.20	5.40																																																																								
5148	88.10	62.50	9.70	6.00	18.60	2.20	3.10	5.20																																																																								
5149	88.90	62.00	10.50	6.00	17.80	2.20	3.10	4.80																																																																								
5150	87.70	60.50	11.10	6.80	17.70	2.20	2.90	5.10																																																																								
5151	88.10	59.70	11.30	7.00	17.80	2.10	3.20	5.00																																																																								
5152	88.20	62.00	10.60	5.90	18.20	2.30	3.00	4.90																																																																								
5153	88.70	61.00	11.20	6.20	18.60	2.30	3.30	4.50																																																																								
5154	88.10	60.20	10.70	6.40	17.10	2.30	3.20	5.10																																																																								
5155	87.70	61.80	9.20	6.10	17.60	2.20	3.20	5.20																																																																								
5156	89.00	58.90	12.50	6.60	19.20	2.40	3.20	5.00																																																																								
5157	87.20	56.10	13.00	6.30	21.90	2.40	3.10	5.10																																																																								
5158	87.60	61.60	9.30	5.60	17.10	2.20	3.10	4.50																																																																								
6953	85.10	58.40	8.90	7.10	18.60	2.20	3.10	5.80																																																																								
6954	89.40	57.60	11.40	7.30	17.80	2.10	3.10	5.50																																																																								
6955	86.30	59.40	8.90	7.10	19.40	2.30	3.10	5.90																																																																								
6956	87.20	60.00	9.00	7.70	17.90	2.20	3.10	5.80																																																																								
6957	86.10	59.00	9.20	7.00	18.30	2.10	3.20	5.90																																																																								
6958	86.70	57.60	10.90	6.90	18.00	2.20	3.20	5.60																																																																								
6959	87.70	58.70	10.90	7.20	18.80	2.10	3.20	5.80																																																																								
6960	89.10	61.20	8.50	6.70	17.60	2.10	3.00	5.20																																																																								
6961	89.70	59.20	9.30	7.20	18.90	2.10	3.10	5.60																																																																								
6962	84.90	54.50	10.40	7.00	19.00	2.10	3.00	5.90																																																																								
6963	87.70	57.10	11.30	7.60	21.60	2.40	3.10	5.90																																																																								
6964	90.70	57.30	11.10	7.60	20.30	2.10	3.10	5.60																																																																								
6965	88.30	57.50	10.40	8.00	19.30	2.20	3.20	5.90																																																																								
6966	86.90	59.20	10.40	6.40	19.00	2.20	3.00	5.20																																																																								
6967	87.20	59.30	9.50	6.40	18.60	2.20	3.10	5.60																																																																								
6968	88.10	57.40	10.80	7.40	19.80	2.30	3.10	5.70																																																																								
7049	87.70	58.90	9.40	7.10	18.60	2.20	3.10	5.70																																																																								
7050	84.50	57.10	10.80	7.60	19.90	2.20	3.00	6.10																																																																								
7051	86.50	58.30	10.10	7.60	19.20	2.10	3.20	6.10																																																																								
7052	87.40	55.60	11.70	7.80	18.90	2.30	3.10	6.30																																																																								
7053	88.00	57.70	9.00	7.60	16.80	2.30	3.10	6.00																																																																								
7054	88.40	58.70	10.20	7.40	20.20	2.30	3.10	5.70																																																																								
7055	87.40	59.70	8.50	7.20	17.20	2.20	3.10	5.80																																																																								
7056	87.80	60.60	9.30	6.20	18.80	2.20	3.10	5.00																																																																								
7057	85.70	58.20	10.10	7.10	20.00	2.10	3.10	5.70																																																																								
7058	86.30	58.80	9.60	6.60	19.10	2.20	3.10	5.50																																																																								
7080	85.40	64.30	11.30	5.50	23.20	1.90	2.70	5.00																																																																								
7081	86.00	57.90	10.90	6.90	18.80	2.10	3.20	5.30																																																																								
7082	88.00	59.60	9.10	7.00	18.10	2.20	3.20	5.20																																																																								
7083	84.10	58.00	9.20	6.60	17.40	2.00	2.90	5.70																																																																								
7084	86.50	58.80	10.40	6.80	17.40	2.10	3.20	5.40																																																																								
7278	84.50	54.90	12.60	8.10	19.00	2.20	3.00	5.70																																																																								
7279	87.30	59.90	9.60	6.50	17.80	2.30	3.10	5.50																																																																								
7280	84.60	56.50	11.50	7.00	18.20	2.20	3.10	5.80																																																																								
7685	87.30	56.90	11.00	8.10	19.30	2.20	3.10	6.30																																																																								
7686	86.80	59.20	10.40	6.80	17.70	2.20	3.10	5.50																																																																								
7688	85.80	56.90	11.80	7.50	18.40	2.10	2.90	5.10																																																																								
7689	88.30	58.30	10.70	7.00	18.80	2.20	3.10	5.60																																																																								
7690	86.50	54.60	14.30	8.10	21.00	2.20	3.10	5.10																																																																								
7692	85.20	57.90	12.90	7.90	18.70	2.30	3.10	5.40																																																																								
7693	90.00	60.30	9.80	8.50	19.80	2.10	3.10	5.40																																																																								
7694	86.30	60.10	12.60	6.50	24.10	1.90	3.00	5.50																																																																								
7695	85.50	58.00	9.50	7.70	18.80	2.10	3.10	6.10																																																																								
7701	87.70	58.50	11.30	6.50	18.20	2.20	3.00	5.00																																																																								
7702	85.50	57.40	11.40	6.90	18.20	2.20	3.10	5.70																																																																								
7703	89.30	56.90	11.10	7.90	19.20	2.30	3.00	5.40																																																																								
7704	88.90	57.50	10.60	7.60	18.60	2.20	3.20	5.80																																																																								
7705	87.50	57.40	10.20	7.40	16.60	2.20	3.10	5.80																																																																								
7899	86.80	57.00	11.60	6.90	20.10	2.30	3.20	6																																																																								
7900	88.80	57.60	10.20	6.60	19.30	2.10	3.10	5.3																																																																								
